msn,description,unit
RFICE,Residual fuel oil industrial sector CO2 emissions,Million metric tons CO2
RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels
RFICV,Residual fuel oil expenditures in the industrial sector,Million dollars
RFISB,Residual fuel oil consumed by the industrial sector excluding refinery fuel,Billion Btu
RFRFB,Residual fuel oil consumed as refinery fuel,Billion Btu
RFSCB,Residential fuel oil total consumption excluding process fuel,Billion Btu
RFTCB,Residual fuel oil total consumption,Billion Btu
RFTCD,"Residual fuel oil average price, all sectors",Dollars per million Btu
RFTCE,Residual fuel oil total CO2 emissions,Million metric tons CO2
RFTCP,Residual fuel oil total consumption,Thousand barrels
RFTCV,Residual fuel oil total expenditures,Million dollars
RFTXB,Residual fuel oil total end-use consumption,Billion Btu
RFTXD,"Residual fuel oil average price, all end-use sectors",Dollars per million Btu
RFTXP,Residual fuel oil total end-use consumption,Thousand barrels
RFTXV,Residual fuel oil total end-use expenditures,Million dollars
SFCCB,Supplemental gaseous fuels consumed by the commercial sector,Billion Btu
SFEIB,Supplemental gaseous fuels consumed by the electric power sector,Billion Btu
SFINB,Supplemental gaseous fuels consumed by the industrial sector,Billion Btu
SFRCB,Supplemental gaseous fuels consumed by the residential sector,Billion Btu
SFTCB,Supplemental gaseous fuels total consumption,Billion Btu
SGICB,Still gas consumed by the industrial sector,Billion Btu
SGICP,Still gas consumed by the industrial sector,Thousand barrels
SHCAS,Solar thermal generating units capacity factor,Percent
SNICB,Special naphthas consumed by the industrial sector,Billion Btu
SNICD,Special naphthas price in the industrial sector,Dollars per million Btu
SNICP,Special naphthas consumed by the industrial sector,Thousand barrels
SNICV,Special naphthas expenditures in the industrial sector,Million dollars
SOCCB,Solar energy consumed by the commercial sector,Billion Btu
SOCCP,Solar thermal and photovoltaic electricity net generation in the commercial sector,Million kilowatthours
SOEGB,Solar energy consumed for electricity generation by the electric power sector,Billion Btu
SOEGP,Solar thermal and photovoltaic electricity net generation in the electric power sector,Million kilowatthours
SOGBP,Solar generating units net summer capacity in all sectors,Thousand kilowatts
SOICB,Solar energy consumed by the industrial sector,Billion Btu
SOICP,Solar thermal and photovoltaic electricity net generation in the industrial sector,Million kilowatthours
SOPRB,Solar energy production,Billion Btu
SOR7P,Solar photovoltaic electricity generation by small-scale applications in the residential sector,Million kilowatthours
SORCB,Solar energy consumed by the residential sector,Billion Btu
SOTCB,Solar energy total consumption,Billion Btu
SOTGP,Solar thermal and photovoltaic electricity total net generation,Million kilowatthours
SOTXB,Solar energy total end-use consumption,Billion Btu
SPCAS,Solar photovoltaic generating units capacity factor,Percent
TEACB,Total energy consumption in the transportation sector,Billion Btu
TEACD,Total energy average price in the transportation sector,Dollars per million Btu
TEACE,Total energy CO2 emissions for the transportation sector,Million metric tons CO2
TEACV,Total energy expenditures in the transportation sector,Million dollars
TEAPB,Total energy consumption per capita in the transportation sector,Million Btu
TECCB,Total energy consumption in the commercial sector,Billion Btu
TECCD,Total energy average price in the commercial sector,Dollars per million Btu
TECCE,Total energy CO2 emissions for the commercial sector,Million metric tons CO2
TECCV,Total energy expenditures in the commercial sector,Million dollars
TECPB,Total energy consumption per capita in the commercial sector,Million Btu
TEEIB,Total energy consumption in the electric power sector plus net imports of electricity into the United States,Billion Btu
TEEIE,Total energy CO2 emissions for the electric power sector,Million metric tons CO2
TEGDS,Energy expenditures as percent of current-dollar GDP,Percent
TEICB,Total energy consumption in the industrial sector,Billion Btu
TEICD,Total energy average price in the industrial sector,Dollars per million Btu
TEICE,Total energy CO2 emissions for the industrial sector,Million metric tons CO2
TEICV,Total energy expenditures in the industrial sector,Million dollars
TEIPB,Total energy consumption per capita in the industrial sector,Million Btu
TENEB,Total primary energy consumption less total primary energy production,Billion Btu
TEPFB,Total energy used as process fuel and other consumption that has no direct fuel costs,Billion Btu
TEPRB,Total primary energy production,Billion Btu
TERCB,Total energy consumption in the residential sector,Billion Btu
TERCD,Total energy average price in the residential sector,Dollars per million Btu
TERCE,Total energy CO2 emissions for the residential sector,Million metric tons CO2
TERCV,Total energy expenditures in the residential sector,Million dollars
TERFB,Total energy used as refinery fuel and intermediate products,Billion Btu
TERPB,Total energy consumption per capita in the residential sector,Million Btu
TETCB,Total energy consumption,Billion Btu
TETCD,Total energy average price,Dollars per million Btu
TETCE,Total energy CO2 emissions for all sectors,Million metric tons CO2
TETCV,Total energy expenditures,Million dollars
TETGR,Total energy consumption per dollar of real gross domestic product (GDP),Thousand Btu per chained (2017) dollar
TETPB,Total energy consumption per capita,Million Btu
TETPV,Total energy expenditures per capita,Dollars
TETXB,Total end-use sector energy consumption,Billion Btu
TETXD,Total end-use energy average price,Dollars per million Btu
TETXV,Total end-use energy expenditures,Million dollars
TNACB,End-use energy consumption in the transportation sector,Billion Btu
TNASB,"Total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
TNCCB,End-use energy consumption in the commercial sector,Billion Btu
TNCSB,"Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
TNICB,End-use energy consumption in the industrial sector,Billion Btu
TNISB,"Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
TNRCB,End-use energy consumption in the residential sector,Billion Btu
TNRSB,"Total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
TNSCB,"Total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
TNTCB,Total end-use energy consumption,Billion Btu
TPOPP,Resident population including Armed Forces,Thousand
UOICB,Unfinished oils consumed by the industrial sector,Billion Btu
UOICP,Unfinished oils consumed by the industrial sector,Thousand barrels
USICB,Unfractionated streams consumed by the industrial sector (through 1983),Billion Btu
USICP,Unfractionated streams consumed by the industrial sector (through 1983),Thousand barrels
WDCCB,Wood energy consumed by the commercial sector,Billion Btu
WDEIB,Wood consumed by the electric power sector,Billion Btu
WDEXB,Densified biomass exports (available for 2016 forward),Billion Btu
WDGBP,Wood generating units net summer capacity in all sectors,Thousand kilowatts
WDICB,Wood energy consumed by the industrial sector,Billion Btu
WDPRB,Wood energy production,Billion Btu
WDRCB,Wood energy consumed by the residential sector,Billion Btu
WDRCD,Wood price in the residential sector,Dollars per million Btu
WDRCV,Wood expenditures in the residential sector,Million dollars
WDRSB,Wood energy consumed in the residential sector at a cost,Billion Btu
WDRXB,Wood energy consumed in the residential sector at no cost,Billion Btu
WDTCB,Wood energy total consumption,Billion Btu
WSCCB,Waste energy consumed by the commercial sector,Billion Btu
WSEIB,Waste consumed by the electric power sector,Billion Btu
WSGBP,Waste generating units net summer capacity in all sectors,Thousand kilowatts
WSICB,Waste energy consumed by the industrial sector,Billion Btu
WSTCB,Waste energy total consumption,Billion Btu
WWCCB,Wood and waste consumed in the commercial sector,Billion Btu
WWCCD,Wood and waste price in the commercial sector,Dollars per million Btu
WWCCV,Wood and waste expenditures in the commercial sector,Million dollars
WWCSB,Wood and waste energy consumed in the commercial sector at a cost,Billion Btu
WWCXB,Wood and waste energy consumed in the commercial sector at no cost,Billion Btu
WWEIB,Wood and waste consumed by the electric power sector,Billion Btu
WWEID,Wood and waste price in the electric power sector,Dollars per million Btu
WWEIV,Wood and waste expenditures in the electric power sector,Million dollars
WWICB,Wood and waste consumed in the industrial sector,Billion Btu
WWICD,Wood and waste price in the industrial sector,Dollars per million Btu
WWICV,Wood and waste expenditures in the industrial sector,Million dollars
WWISB,Wood and waste energy consumed in the industrial sector at a cost,Billion Btu
WWIXB,Wood and waste energy consumed in the industrial sector at no cost,Billion Btu
WWPRB,Wood and waste energy production,Billion Btu
WWSCB,"Wood and waste energy total consumption, adjusted for fuels with no direct cost",Billion Btu
WWTCB,Wood and waste total consumption,Billion Btu
WWTCD,"Wood and waste average price, all sectors",Dollars per million Btu
WWTCV,Wood and waste total expenditures,Million dollars
WWTXB,Wood and waste total end-use consumption,Billion Btu
WWTXD,"Wood and waste average price, all end-use sectors",Dollars per million Btu
WWTXV,Wood and waste total end-use expenditures,Million dollars
WXICB,Waxes consumed by the industrial sector,Billion Btu
WXICD,Waxes price in the industrial sector,Dollars per million Btu
WXICP,Waxes consumed by the industrial sector,Thousand barrels
WXICV,Waxes expenditures in the industrial sector,Million dollars
WYCAS,Wind generating units capacity factor,Percent
WYCCB,Wind energy consumed by the commercial sector,Billion Btu
WYCCP,Wind electricity net generation in the commercial sector,Million kilowatthours
WYEGB,Wind energy consumed for electricity generation by the electric power sector,Billion Btu
WYEGP,Wind electricity net generation in the electric power sector,Million kilowatthours
WYGBP,Wind generating units net summer capacity in all sectors,Thousand kilowatts
WYICB,Wind energy consumed by the industrial sector,Billion Btu
WYICP,Wind electricity net generation in the industrial sector,Million kilowatthours
WYPRB,Wind energy production,Billion Btu
WYTCB,Wind energy total consumption,Billion Btu
WYTCP,Wind electricity total net generation,Million kilowatthours
WYTXB,Wind energy total end-use consumption,Billion Btu
WYTXP,Wind energy total end-use net generation,Million kilowatthours
WZEIB,"Waste, excluding biodiesel, consumed by the electric power sector",Billion Btu
WZTCB,"Waste, excluding biodiesel, total consumption",Billion Btu
ZWCDP,Cooling degree days (CDD),Days
ZWHDP,Heating degree days (HDD),Days
