name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_en,description_es
domestic_other_offices,FLOAT64,The number of domestic non-multiple service offices operated by an institution.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OFFOTH,Número de agências domésticas que não são de serviço múltiplo operadas pela instituição,The number of domestic non-multiple service offices operated by an institution.,Número de oficinas domésticas que no son de servicio múltiple operadas por la institución
sod_offices,FLOAT64,The number of offices operated by an institution based on the summary of deposits definition of offices.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OFFSOD,Número de agências operadas pela instituição segundo a definição de agência do Summary of Deposits,The number of offices operated by an institution based on the summary of deposits definition of offices.,Número de oficinas operadas por la institución según la definición de oficina del Summary of Deposits
total_offices,FLOAT64,The total number of offices operated by an institution.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OFFTOT,Número total de agências operadas pela instituição,The total number of offices operated by an institution.,Número total de oficinas operadas por la institución
u_s_and_other_area_offices,FLOAT64,The number of domestic and U.S terrirtories offices operated by an institution.,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",OFFUSOA,Número de agências domésticas e em territórios dos Estados Unidos operadas pela instituição,The number of domestic and U.S terrirtories offices operated by an institution.,Número de oficinas domésticas y en territorios de los Estados Unidos operadas por la institución
p_per_d_30_89_real_estate_loans_in_domestic,FLOAT64,P/D 30-89 Real Estate Loans in Domestic Offices,,no,,percent,no,,P3RELNDO,Empréstimos imobiliários em agências domésticas com atraso de 30 a 89 dias,P/D 30-89 Real Estate Loans in Domestic Offices,Préstamos inmobiliarios en oficinas domésticas con mora de 30 a 89 días
n_90_days_p_per_d_loans_and_leases,FLOAT64,90+ Days P/D-Loans & Leases,,no,,percent,no,,P9LNLS,Empréstimos e arrendamentos com atraso de 90 dias ou mais,90+ Days P/D-Loans & Leases,Préstamos y arrendamientos con mora de 90 días o más
n_90_real_estate_loans_in_domestic_offices_p9relndo,FLOAT64,90+ Real Estate Loans in Domestic Offices,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",P9RELNDO,Empréstimos imobiliários em agências domésticas com atraso de 90 dias ou mais,90+ Real Estate Loans in Domestic Offices,Préstamos inmobiliarios en oficinas domésticas con mora de 90 días o más
pre_tax_net_income_operating_income_quarterly,FLOAT64,Pre-Tax Net Income Operating Income Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",PTAXNETINCQ,Resultado operacional antes de impostos no trimestre,Pre-Tax Net Income Operating Income Quarterly,Resultado operativo antes de impuestos del trimestre
securities_af,FLOAT64,Securities-Af,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCAF,Títulos disponíveis para venda,Securities-Af,Valores disponibles para la venta
equity_securities_not_held_for_trading,FLOAT64,Equity Securities Not Held for Trading,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCEQNFT,Títulos patrimoniais não mantidos para negociação,Equity Securities Not Held for Trading,Valores patrimoniales no mantenidos para negociación
securities_ha,FLOAT64,Securities-Ha,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCHA,Títulos mantidos até o vencimento,Securities-Ha,Valores mantenidos hasta el vencimiento
priv_issued_res_mortgage_backed_securities,FLOAT64,Priv Issued Res Mortgage-Backed Securities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCRMBPI,Títulos privados lastreados em hipotecas residenciais,Priv Issued Res Mortgage-Backed Securities,Valores privados respaldados por hipotecas residenciales
u_s_treasury_securities,FLOAT64,U.S. Treasury Securities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCUST,Títulos do Tesouro dos Estados Unidos,U.S. Treasury Securities,Valores del Tesoro de los Estados Unidos
number_of_states_with_offices,FLOAT64,The number of states with offices (including its main office).,,no,,unit,no,,OFFSTATE,Número de estados em que a instituição possui agências (incluindo a sede),The number of states with offices (including its main office).,Número de estados en que la institución posee oficinas (incluyendo la sede)
interest_bearing_cash_and_due,FLOAT64,Interest-Bearing Cash & Due,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CHBALI,Disponibilidades remuneradas em instituições depositárias,Interest-Bearing Cash & Due,Disponibilidades remuneradas en instituciones depositarias
total_loans_and_leases_recoveries_quarterly,FLOAT64,Total Loans & Leases Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRLNLSQ,Recuperações de empréstimos e arrendamentos no trimestre,Total Loans & Leases Recoveries Quarterly,Recuperaciones de préstamos y arrendamientos del trimestre
total_loans_and_leases_chargeoffs_quarterly,FLOAT64,Total Loans & Leases Charge-Offs Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DRLNLSQ,Baixas por perda de empréstimos e arrendamentos no trimestre,Total Loans & Leases Charge-Offs Quarterly,Castigos por pérdida de préstamos y arrendamientos del trimestre
deposit_interest_expense,FLOAT64,Deposit Interest Expense,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EDEP,Despesa de juros sobre depósitos,Deposit Interest Expense,Gasto por intereses sobre depósitos
deposit_interest_expense_dom,FLOAT64,Deposit Interest Expense-Dom,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EDEPDOM,Despesa de juros sobre depósitos domésticos,Deposit Interest Expense-Dom,Gasto por intereses sobre depósitos domésticos
deposit_interest_expense_dom_quarterly,FLOAT64,Deposit Interest Expense-Dom Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EDEPDOMQ,Despesa de juros sobre depósitos domésticos no trimestre,Deposit Interest Expense-Dom Quarterly,Gasto por intereses sobre depósitos domésticos del trimestre
total_interest_expense_annually,FLOAT64,Total Interest Expense Annually,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EINTEXPA,Despesa total de juros no ano,Total Interest Expense Annually,Gasto total por intereses del año
total_interest_expense_quarterly_eintxq,FLOAT64,Total Interest Expense Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EINTXQ,Despesa total de juros no trimestre,Total Interest Expense Quarterly,Gasto total por intereses del trimestre
total_interest_expense_quarterly,FLOAT64,Total Interest Expense Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EINTXQA,Despesa total de juros no trimestre,Total Interest Expense Quarterly,Gasto total por intereses del trimestre
all_other_noninterest_expense_quarterly,FLOAT64,All Other Noninterest Expense Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EOTHNINQ,Demais despesas não decorrentes de juros no trimestre,All Other Noninterest Expense Quarterly,Demás gastos no derivados de intereses del trimestre
all_other_noninterest_expense,FLOAT64,All Other Noninterest Expense,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EOTHNINT,Demais despesas não decorrentes de juros,All Other Noninterest Expense,Demás gastos no derivados de intereses
premises_and_fixed_assets_expense,FLOAT64,Premises & Fixed Assets Expense,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EPREMAGG,Despesa com imóveis e ativos fixos,Premises & Fixed Assets Expense,Gasto por inmuebles y activos fijos
premises_and_fixed_assets_expense_quarterly,FLOAT64,Premises & Fixed Assets Expense Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EPREMAGQ,Despesa com imóveis e ativos fixos no trimestre,Premises & Fixed Assets Expense Quarterly,Gasto por inmuebles y activos fijos del trimestre
cash_dividends_on_comm_and_pref_quarterly,FLOAT64,Cash Dividends On Comm & Pref Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQCDIVQ,Dividendos pagos sobre ações ordinárias e preferenciais no trimestre,Cash Dividends On Comm & Pref Quarterly,Dividendos pagados sobre acciones ordinarias y preferentes del trimestre
up_net_and_other_capital_comp,FLOAT64,Up-Net & Other Capital Comp,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQUPTOT,Demais componentes do patrimônio líquido,Up-Net & Other Capital Comp,Demás componentes del patrimonio neto
salaries_and_employee_benefits,FLOAT64,Salaries and Employee Benefits,,no,,unit,no,,ESAL,Salários e benefícios a funcionários,Salaries and Employee Benefits,Salarios y beneficios a empleados
salaries_and_employee_benefits_quarterly,FLOAT64,Salaries and Employee Benefits Quarterly,,no,,unit,no,,ESALQ,Salários e benefícios a funcionários no trimestre,Salaries and Employee Benefits Quarterly,Salarios y beneficios a empleados del trimestre
income_before_inc_taxes_and_disc,FLOAT64,Income Before Inc Taxes & Disc,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",IBEFTAX,Resultado antes de impostos e operações descontinuadas,Income Before Inc Taxes & Disc,Resultado antes de impuestos y operaciones descontinuadas
loan_income_ann,FLOAT64,Loan Income-Ann,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ILNA,Receita com empréstimos no ano,Loan Income-Ann,Ingreso por préstamos del año
loan_income_dom,FLOAT64,Loan Income-Dom,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ILNDOM,Receita com empréstimos em agências domésticas,Loan Income-Dom,Ingreso por préstamos en oficinas domésticas
loan_income_dom_quarterly,FLOAT64,Loan Income-Dom Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ILNDOMQ,Receita com empréstimos em agências domésticas no trimestre,Loan Income-Dom Quarterly,Ingreso por préstamos en oficinas domésticas del trimestre
loan_and_lease_income_ann,FLOAT64,Loan & Lease Income-Ann,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ILNLSA,Receita com empréstimos e arrendamentos no ano,Loan & Lease Income-Ann,Ingreso por préstamos y arrendamientos del año
loan_and_lease_income_qtr,FLOAT64,Loan & Lease Income-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ILNLSQ,Receita com empréstimos e arrendamentos no trimestre,Loan & Lease Income-Qtr,Ingreso por préstamos y arrendamientos del trimestre
loan_income_qtr,FLOAT64,Loan Income-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ILNQ,Receita com empréstimos no trimestre,Loan Income-Qtr,Ingreso por préstamos del trimestre
total_interest_income_quarterly,FLOAT64,Total Interest Income Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",INTINQ,Receita total de juros no trimestre,Total Interest Income Quarterly,Ingreso total por intereses del trimestre
iras_and_keogh_plans_deposits,FLOAT64,Iras and Keogh Plans-Deposits,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",IRAKEOGH,Depósitos em planos IRA e Keogh,Iras and Keogh Plans-Deposits,Depósitos en planes IRA y Keogh
total_security_income,FLOAT64,Total Security Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ISC,Receita total com títulos,Total Security Income,Ingreso total por valores
total_security_income_ann,FLOAT64,Total Security Income-Ann,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ISCA,Receita total com títulos no ano,Total Security Income-Ann,Ingreso total por valores del año
total_security_income_quarterly,FLOAT64,Total Security Income Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ISCQ,Receita total com títulos no trimestre,Total Security Income Quarterly,Ingreso total por valores del trimestre
applicable_income_taxes_ann,FLOAT64,Applicable Income Taxes-Ann,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ITAXA,Impostos sobre a renda aplicáveis no ano,Applicable Income Taxes-Ann,Impuestos sobre la renta aplicables del año
applicable_income_taxes_quarterly,FLOAT64,Applicable Income Taxes Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ITAXQ,Impostos sobre a renda aplicáveis no trimestre,Applicable Income Taxes Quarterly,Impuestos sobre la renta aplicables del trimestre
applicable_income_taxes_qtr_ann,FLOAT64,Applicable Income Taxes-Qtr-Ann,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ITAXQA,"Impostos sobre a renda aplicáveis no trimestre, anualizados",Applicable Income Taxes-Qtr-Ann,"Impuestos sobre la renta aplicables del trimestre, anualizados"
executive_officer_loans_amount,FLOAT64,Executive Officer Loans-Amount,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNEXAMT,"Empréstimos a diretores e administradores, valor",Executive Officer Loans-Amount,"Préstamos a directivos y administradores, monto"
allowance_for_loan_and_leases,FLOAT64,Allowance for Loan and Leases,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNLSRES,Provisão para perdas com empréstimos e arrendamentos,Allowance for Loan and Leases,Provisión para pérdidas por préstamos y arrendamientos
nonaccrual_commercial_and_industrial_loans,FLOAT64,Nonaccrual-Commercial and Industrial Loans,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NACI,Empréstimos comerciais e industriais em não acumulação de juros,Nonaccrual-Commercial and Industrial Loans,Préstamos comerciales e industriales en no acumulación de intereses
net_income_quarterly,FLOAT64,Net income - quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NETINCQA,Lucro líquido do trimestre,Net income - quarterly,Utilidad neta del trimestre
net_operating_income_qtr,FLOAT64,Net Operating Income-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NOIQ,Resultado operacional líquido do trimestre,Net Operating Income-Qtr,Resultado operativo neto del trimestre
cost_of_funding_earning_assets_quarterly,FLOAT64,Cost of Funding Earning Assets Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",INTEXPYQ,Custo de captação dos ativos rentáveis no trimestre,Cost of Funding Earning Assets Quarterly,Costo de captación de los activos rentables del trimestre
avg_total_assets,FLOAT64,Avg Total Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",AVASSET,Ativos totais médios,Avg Total Assets,Activos totales promedio
deposits_institution_loans,FLOAT64,Deposits Institution Loans,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",LNDEP,Empréstimos a instituições depositárias,Deposits Institution Loans,Préstamos a instituciones depositarias
interest_rate_total_contracts,FLOAT64,Interest Rate-Total Contracts,,no,,percent,no,,RT,Total de contratos de taxa de juros,Interest Rate-Total Contracts,Total de contratos de tasa de interés
total_available_for_sale_at_amortized_cost,FLOAT64,Total Available-for-Sale At Amortized Cost Securities On A Consolidated Basis,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCAA,"Total de títulos disponíveis para venda ao custo amortizado, em base consolidada",Total Available-for-Sale At Amortized Cost Securities On A Consolidated Basis,"Total de valores disponibles para la venta a costo amortizado, en base consolidada"
total_held_to_maturity_at_fair_value,FLOAT64,Total Held-to-Maturity At Fair Value Securities On A Consolidated Basis,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCHF,"Total de títulos mantidos até o vencimento a valor justo, em base consolidada",Total Held-to-Maturity At Fair Value Securities On A Consolidated Basis,"Total de valores mantenidos hasta el vencimiento a valor razonable, en base consolidada"
securities_mv,FLOAT64,Securities-Mv,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCMV,Títulos a valor de mercado,Securities-Mv,Valores a valor de mercado
pledged_securities,FLOAT64,Pledged Securities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",SCPLEDGE,Títulos dados em garantia,Pledged Securities,Valores otorgados en garantía
trading_liabilities,FLOAT64,Trading Liabilities,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",TRADEL,Passivos de negociação,Trading Liabilities,Pasivos de negociación
unearned_income,FLOAT64,Unearned Income,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",UNINC,Receitas não realizadas,Unearned Income,Ingresos no devengados
long_term_assets_5_years_qbp,FLOAT64,Long-Term Assets (5+ Years)-QBP,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",ASSTLT,"Ativos de longo prazo (5 anos ou mais), definição QBP",Long-Term Assets (5+ Years)-QBP,"Activos de largo plazo (5 años o más), definición QBP"
average_assets_adjusted_pca,FLOAT64,Average Assets-Adjusted-PCA,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",AVASSETJ,Ativos médios ajustados para fins do PCA,Average Assets-Adjusted-PCA,Activos promedio ajustados para fines del PCA
noninterest_bearing_cash_and_due,FLOAT64,Noninterest-Bearing Cash & Due,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CHBALNI,Disponibilidades não remuneradas em instituições depositárias,Noninterest-Bearing Cash & Due,Disponibilidades no remuneradas en instituciones depositarias
net_operating_cash_flow_ann,FLOAT64,Net Operating Cash Flow-Ann,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CHFLA,Fluxo de caixa operacional líquido no ano,Net Operating Cash Flow-Ann,Flujo de caja operativo neto del año
net_operating_cash_flow_ann_quarterly,FLOAT64,NET OPERATING CASH FLOW-ANN Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CHFLQ,Fluxo de caixa operacional líquido no trimestre,NET OPERATING CASH FLOW-ANN Quarterly,Flujo de caja operativo neto del trimestre
commercial_loan_recoveries,FLOAT64,Commercial Loan Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCI,Recuperações de empréstimos comerciais,Commercial Loan Recoveries,Recuperaciones de préstamos comerciales
commercial_loan_recoveries_quarterly,FLOAT64,Commercial Loan Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCIQ,Recuperações de empréstimos comerciais no trimestre,Commercial Loan Recoveries Quarterly,Recuperaciones de préstamos comerciales del trimestre
other_consumer_loan_recoveries,FLOAT64,Other Consumer Loan Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCONOTH,Recuperações dos demais empréstimos ao consumidor,Other Consumer Loan Recoveries,Recuperaciones de los demás préstamos al consumidor
other_consumer_loan_recoveries_quarterly,FLOAT64,Other Consumer Loan Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCONOTQ,Recuperações dos demais empréstimos ao consumidor no trimestre,Other Consumer Loan Recoveries Quarterly,Recuperaciones de los demás préstamos al consumidor del trimestre
consumer_loan_recoveries_quarterly,FLOAT64,Consumer Loan Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCONQ,Recuperações de empréstimos ao consumidor no trimestre,Consumer Loan Recoveries Quarterly,Recuperaciones de préstamos al consumidor del trimestre
credit_card_loan_recoveries,FLOAT64,Credit Card Loan Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCRCD,Recuperações de empréstimos de cartão de crédito,Credit Card Loan Recoveries,Recuperaciones de préstamos de tarjeta de crédito
credit_card_loan_recoveries_quarterly,FLOAT64,Credit Card Loan Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRCRCDQ,Recuperações de empréstimos de cartão de crédito no trimestre,Credit Card Loan Recoveries Quarterly,Recuperaciones de préstamos de tarjeta de crédito del trimestre
lease_recoveries,FLOAT64,Lease Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRLS,Recuperações de arrendamentos,Lease Recoveries,Recuperaciones de arrendamientos
lease_recoveries_quarterly,FLOAT64,Lease Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRLSQ,Recuperações de arrendamentos no trimestre,Lease Recoveries Quarterly,Recuperaciones de arrendamientos del trimestre
real_estate_loan_recoveries,FLOAT64,Real Estate Loan Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRE,Recuperações de empréstimos imobiliários,Real Estate Loan Recoveries,Recuperaciones de préstamos inmobiliarios
farmland_real_estate_ln_recoveries,FLOAT64,Farmland Real Estate Ln Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREAG,Recuperações de empréstimos imobiliários rurais,Farmland Real Estate Ln Recoveries,Recuperaciones de préstamos inmobiliarios rurales
farmland_real_estate_ln_recoveries_qtr,FLOAT64,Farmland Real Estate Ln Recoveries-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREAGQ,Recuperações de empréstimos imobiliários rurais no trimestre,Farmland Real Estate Ln Recoveries-Qtr,Recuperaciones de préstamos inmobiliarios rurales del trimestre
construction_real_estate_ln_recover_qtr,FLOAT64,Construction Real Estate Ln Recover-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRECONQ,Recuperações de empréstimos imobiliários para construção no trimestre,Construction Real Estate Ln Recover-Qtr,Recuperaciones de préstamos inmobiliarios para construcción del trimestre
construction_real_estate_ln_recoveries,FLOAT64,Construction Real Estate Ln Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRECONS,Recuperações de empréstimos imobiliários para construção,Construction Real Estate Ln Recoveries,Recuperaciones de préstamos inmobiliarios para construcción
line_of_credit_real_estate_ln_recoveries,FLOAT64,Line of Credit Real Estate Ln Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRELOC,Recuperações de linhas de crédito com garantia imobiliária,Line of Credit Real Estate Ln Recoveries,Recuperaciones de líneas de crédito con garantía inmobiliaria
line_of_credit_real_estate_ln_recoveries_crrelocq,FLOAT64,Line of Credit Real Estate Ln Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRELOCQ,Recuperações de linhas de crédito com garantia imobiliária no trimestre,Line of Credit Real Estate Ln Recoveries Quarterly,Recuperaciones de líneas de crédito con garantía inmobiliaria del trimestre
multifamily_real_estate_ln_recoveries_qtr,FLOAT64,Multifamily Real Estate Ln Recoveries-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREMULQ,Recuperações de empréstimos imobiliários multifamiliares no trimestre,Multifamily Real Estate Ln Recoveries-Qtr,Recuperaciones de préstamos inmobiliarios multifamiliares del trimestre
multifamily_res_real_estate_ln_recoveries,FLOAT64,Multifamily Res Real Estate Ln Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREMULT,Recuperações de empréstimos imobiliários residenciais multifamiliares,Multifamily Res Real Estate Ln Recoveries,Recuperaciones de préstamos inmobiliarios residenciales multifamiliares
nonfarm_nonresidential_real_estate_ln,FLOAT64,Nonfarm Nonresidential Real Estate Ln Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRENRES,Recuperações de empréstimos imobiliários não rurais e não residenciais,Nonfarm Nonresidential Real Estate Ln Recoveries,Recuperaciones de préstamos inmobiliarios no rurales y no residenciales
nonfarm_nonresidential_real_estate_ln_crrenrsq,FLOAT64,Nonfarm Nonresidential Real Estate Ln Recover-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRENRSQ,Recuperações de empréstimos imobiliários não rurais e não residenciais no trimestre,Nonfarm Nonresidential Real Estate Ln Recover-Qtr,Recuperaciones de préstamos inmobiliarios no rurales y no residenciales del trimestre
real_estate_loan_recoveries_quarterly,FLOAT64,Real Estate Loan Recoveries Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRREQ,Recuperações de empréstimos imobiliários no trimestre,Real Estate Loan Recoveries Quarterly,Recuperaciones de préstamos inmobiliarios del trimestre
real_estate_loans_1_4_family_recoveries,FLOAT64,Real Estate Loans 1-4 Family Recoveries,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRERES,Recuperações de empréstimos imobiliários residenciais de 1 a 4 unidades,Real Estate Loans 1-4 Family Recoveries,Recuperaciones de préstamos inmobiliarios residenciales de 1 a 4 unidades
real_estate_loans_1_4_family_recover_qtr,FLOAT64,Real Estate Loans 1-4 Family Recover-Qtr,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",CRRERESQ,Recuperações de empréstimos imobiliários residenciais de 1 a 4 unidades no trimestre,Real Estate Loans 1-4 Family Recover-Qtr,Recuperaciones de préstamos inmobiliarios residenciales de 1 a 4 unidades del trimestre
commercial_loan_chargeoffs,FLOAT64,Commercial Loan Charge-Offs,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DRCI,Baixas por perda de empréstimos comerciais,Commercial Loan Charge-Offs,Castigos por pérdida de préstamos comerciales
commercial_loan_chargeoffs_quarterly,FLOAT64,Commercial Loan Charge-Offs Quarterly,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",DRCIQ,Baixas por perda de empréstimos comerciais no trimestre,Commercial Loan Charge-Offs Quarterly,Castigos por pérdida de préstamos comerciales del trimestre
