table,name,description_pt,description_en,description_es
field_of_study,earn_male_wne_mdn_4yr,Rendimento mediano de concluintes do sexo masculino trabalhando e sem estar matriculados 4 anos após a conclusão,Median earnings of male graduates working and not enrolled 4 year after completing,Ingreso mediano de egresados de sexo masculino trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_count_nomale_wne_4yr,Número de concluintes não masculinos trabalhando e sem estar matriculados 4 anos após a conclusão,Number of non-male graduates working and not enrolled 4 year after completing,Número de egresados no masculinos trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_nomale_wne_mdn_4yr,Rendimento mediano de concluintes não masculinos trabalhando e sem estar matriculados 4 anos após a conclusão,Median earnings of non-male graduates working and not enrolled 4 year after completing,Ingreso mediano de egresados no masculinos trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_count_high_cred_4yr,Número de concluintes trabalhando e sem estar matriculados 4 anos após a conclusão que posteriormente obtiveram uma credencial superior,Number of graduates working and not enrolled 4 years after completing who went on to earn a higher credential,Número de egresados trabajando y sin estar matriculados 4 años después de la conclusión que posteriormente obtuvieron una credencial superior
field_of_study,earn_in_state_4yr,Número de concluintes trabalhando e sem estar matriculados 4 anos após a conclusão que estavam empregados no mesmo estado da instituição,Number of graduates working and not enrolled 4 years after completing who were employed within the same state as the institution,Número de egresados trabajando y sin estar matriculados 4 años después de la conclusión que estaban empleados en el mismo estado de la institución
field_of_study,bbrr1_fed_comp_n,"Contagem de tomadores de empréstimo estudantil federal em 1 ano, entre concluintes",Federal student loan borrower-based 1-year borrower count of completers,"Conteo de prestatarios de préstamo estudiantil federal en 1 año, entre egresados"
field_of_study,bbrr1_fed_comp_dflt,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em inadimplência após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en incumplimiento después de 1 años"
field_of_study,bbrr1_fed_comp_dlnq,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em atraso após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en mora después de 1 años"
field_of_study,bbrr1_fed_comp_fbr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em suspensão temporária de pagamento após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en suspensión temporal de pago después de 1 años"
field_of_study,bbrr1_fed_comp_dfr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em diferimento após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en aplazamiento después de 1 años"
field_of_study,bbrr1_fed_comp_noprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação sem progresso na amortização após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado sin progreso en la amortización después de 1 años"
field_of_study,bbrr1_fed_comp_makeprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com progresso na amortização após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con progreso en la amortización después de 1 años"
field_of_study,bbrr1_fed_comp_paidinfull,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com o saldo integralmente pago após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con el saldo íntegramente pagado después de 1 años"
field_of_study,bbrr1_fed_comp_discharge,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com todos os empréstimos extintos após 1 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 1 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con todos los préstamos extinguidos después de 1 años"
field_of_study,bbrr4_fed_comp_n,"Contagem de tomadores de empréstimo estudantil federal em 4 anos, entre concluintes",Federal student loan borrower-based 4-year borrower count of completers,"Conteo de prestatarios de préstamo estudiantil federal en 4 años, entre egresados"
field_of_study,bbrr4_fed_comp_dflt,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em inadimplência após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in default after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en incumplimiento después de 4 años"
field_of_study,bbrr4_fed_comp_dlnq,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em atraso após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in delinquency after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en mora después de 4 años"
field_of_study,bbrr4_fed_comp_fbr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em suspensão temporária de pagamento após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in forbearance after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en suspensión temporal de pago después de 4 años"
field_of_study,bbrr4_fed_comp_dfr,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação em diferimento após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers in deferment after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado en aplazamiento después de 4 años"
field_of_study,bbrr4_fed_comp_noprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação sem progresso na amortização após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers not making progress after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado sin progreso en la amortización después de 4 años"
field_of_study,bbrr4_fed_comp_makeprog,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com progresso na amortização após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers making progress after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con progreso en la amortización después de 4 años"
field_of_study,bbrr4_fed_comp_paidinfull,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com o saldo integralmente pago após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers paid in full after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con el saldo íntegramente pagado después de 4 años"
field_of_study,bbrr4_fed_comp_discharge,"Proporção, de 0 a 1, dos tomadores de empréstimo estudantil federal concluintes da graduação com todos os empréstimos extintos após 4 anos",Percentage of undergraduate completer undergraduate federal student loan borrowers with all loans discharged after 4 years,"Proporción, de 0 a 1, de los prestatarios de préstamo estudiantil federal egresados del pregrado con todos los préstamos extinguidos después de 4 años"
field_of_study,distance_education,Indica em que medida a área de formação pode ser cursada integralmente a distância,Distance education indiciator for the field of study,Indica en qué medida el campo de estudio puede cursarse íntegramente a distancia
field_of_study,earn_count_nwne_5yr,Número de concluintes sem trabalhar e sem estar matriculados 5 anos após a conclusão,Number of graduates not working and not enrolled 5 year after completing,Número de egresados sin trabajar y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_count_wne_5yr,Número de concluintes trabalhando e sem estar matriculados 5 anos após a conclusão,Number of graduates working and not enrolled 5 year after completing,Número de egresados trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_mdn_5yr,Rendimento mediano de concluintes trabalhando e sem estar matriculados 5 anos após a conclusão,Median earnings of graduates working and not enrolled 5 year after completing,Ingreso mediano de egresados trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_gt_threshold_5yr,Número de concluintes trabalhando e sem estar matriculados 5 anos após a conclusão que ganharam mais do que um concluinte do ensino médio,Number of graduates working and not enrolled 5 years after completing who earned more than a high school graduate,Número de egresados trabajando y sin estar matriculados 5 años después de la conclusión que ganaron más que un egresado de la enseñanza media
field_of_study,earn_count_pell_wne_5yr,Número de concluintes que receberam bolsa Pell e estavam trabalhando e sem estar matriculados 5 anos após a conclusão,Number of graduates who received a Pell Grant and were working and not enrolled 5 year after completing,Número de egresados que recibieron beca Pell y estaban trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_pell_wne_mdn_5yr,Rendimento mediano de concluintes que receberam bolsa Pell e estavam trabalhando e sem estar matriculados 5 anos após a conclusão,Median earnings of graduates who received a Pell Grant and were working and not enrolled 5 year after completing,Ingreso mediano de egresados que recibieron beca Pell y estaban trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_count_nopell_wne_5yr,Número de concluintes que não receberam bolsa Pell e estavam trabalhando e sem estar matriculados 5 anos após a conclusão,Number of graduates who did not receive a Pell Grant and were working and not enrolled 5 year after completing,Número de egresados que no recibieron beca Pell y estaban trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_nopell_wne_mdn_5yr,Rendimento mediano de concluintes que não receberam bolsa Pell e estavam trabalhando e sem estar matriculados 5 anos após a conclusão,Median earnings of graduates who did not receive a Pell Grant and were working and not enrolled 5 year after completing,Ingreso mediano de egresados que no recibieron beca Pell y estaban trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_count_male_wne_5yr,Número de concluintes do sexo masculino trabalhando e sem estar matriculados 5 anos após a conclusão,Number of male graduates working and not enrolled 5 year after completing,Número de egresados de sexo masculino trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_male_wne_mdn_5yr,Rendimento mediano de concluintes do sexo masculino trabalhando e sem estar matriculados 5 anos após a conclusão,Median earnings of male graduates working and not enrolled 5 year after completing,Ingreso mediano de egresados de sexo masculino trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_count_nomale_wne_5yr,Número de concluintes não masculinos trabalhando e sem estar matriculados 5 anos após a conclusão,Number of non-male graduates working and not enrolled 5 year after completing,Número de egresados no masculinos trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_nomale_wne_mdn_5yr,Rendimento mediano de concluintes não masculinos trabalhando e sem estar matriculados 5 anos após a conclusão,Median earnings of non-male graduates working and not enrolled 5 year after completing,Ingreso mediano de egresados no masculinos trabajando y sin estar matriculados 5 años después de la conclusión
field_of_study,earn_count_high_cred_5yr,Número de concluintes trabalhando e sem estar matriculados 5 anos após a conclusão que posteriormente obtiveram uma credencial superior,Number of graduates working and not enrolled 5 years after completing who went on to earn a higher credential,Número de egresados trabajando y sin estar matriculados 5 años después de la conclusión que posteriormente obtuvieron una credencial superior
field_of_study,earn_in_state_5yr,Número de concluintes trabalhando e sem estar matriculados 5 anos após a conclusão que estavam empregados no mesmo estado da instituição,Number of graduates working and not enrolled 5 years after completing who were employed within the same state as the institution,Número de egresados trabajando y sin estar matriculados 5 años después de la conclusión que estaban empleados en el mismo estado de la institución
field_of_study,earn_count_wne_4yr_nat,Número de concluintes no país trabalhando e sem estar matriculados 4 anos após a conclusão,Number of graduates in the nation working and not enrolled 4 year after completing,Número de egresados en el país trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_mdn_4yr_nat,Rendimento mediano de concluintes no país trabalhando e sem estar matriculados 4 anos após a conclusão,Median earnings of graduates in the nation working and not enrolled 4 year after completing,Ingreso mediano de egresados en el país trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_p25_4yr_nat,Rendimento no percentil 25 de concluintes no país trabalhando e sem estar matriculados 4 anos após a conclusão,25th percentile earnings of graduates in the nation working and not enrolled 4 year after completing,Ingreso en el percentil 25 de egresados en el país trabajando y sin estar matriculados 4 años después de la conclusión
field_of_study,earn_p75_4yr_nat,Rendimento no percentil 75 de concluintes no país trabalhando e sem estar matriculados 4 anos após a conclusão,75th percentile earnings of graduates in the nation working and not enrolled 4 year after completing,Ingreso en el percentil 75 de egresados en el país trabajando y sin estar matriculados 4 años después de la conclusión
variable,variable_name,Nome da variável conforme publicado pela fonte,Variable name as published by the source,Nombre de la variable según lo publicado por la fuente
variable,source_file,Arquivo de origem da variável: institution ou field_of_study,Source file the variable comes from: institution or field_of_study,Archivo de origen de la variable: institution o field_of_study
variable,table_name,Tabela deste conjunto em que a variável foi carregada,Table of this dataset the variable was loaded into,Tabla de este conjunto en la que se cargó la variable
variable,api_name,Nome hierárquico da variável na API do College Scorecard,Hierarchical name of the variable in the College Scorecard API,Nombre jerárquico de la variable en la API del College Scorecard
variable,data_type,Tipo declarado pela fonte para a variável,Data type the source declares for the variable,Tipo declarado por la fuente para la variable
variable,label,"Definição da variável no dicionário de dados oficial, incluindo os rótulos dos códigos quando existem","Definition of the variable in the official data dictionary, including code labels where they exist","Definición de la variable en el diccionario de datos oficial, incluidas las etiquetas de los códigos cuando existen"
dicionario,id_tabela,Nome da tabela que contém a coluna traduzida por este dicionário,Name of the table holding the column this dictionary translates,Nombre de la tabla que contiene la columna traducida por este diccionario
dicionario,nome_coluna,Nome da coluna traduzida por este dicionário,Name of the column this dictionary translates,Nombre de la columna traducida por este diccionario
dicionario,chave,Código presente na coluna original,Code as stored in the original column,Código presente en la columna original
dicionario,cobertura_temporal,Cobertura temporal em que a chave é válida,Temporal coverage over which the key is valid,Cobertura temporal en que la clave es válida
dicionario,valor,"Rótulo correspondente ao código, conforme o dicionário de dados oficial","Label matching the code, per the official data dictionary","Etiqueta correspondiente al código, según el diccionario de datos oficial"
academics,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
academics,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
academics,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
academics,value,"Valor numérico publicado. A unidade depende da variável; ver a tabela variable. Nulo quando a fonte publicou um intervalo, uma data, um rótulo textual ou a supressão por sigilo; nesses casos o conteúdo está em value_raw","Published numeric value. The unit depends on the variable; see the variable table. Null when the source published an interval, a date, a text label or a privacy suppression instead; in those cases the content is in value_raw","Valor numérico publicado. La unidad depende de la variable; ver la tabla variable. Nulo cuando la fuente publicó un intervalo, una fecha, una etiqueta textual o la supresión por confidencialidad; en esos casos el contenido está en value_raw"
academics,value_raw,"Conteúdo publicado quando não é um número: PrivacySuppressed (célula suprimida por sigilo), um intervalo de arredondamento como 0.30-0.39 ou <=0.10 (colunas BBRR), uma data MM/DD/AAAA ou um rótulo textual. Nulo quando value está preenchido","Published content when it is not a number: PrivacySuppressed (cell withheld for privacy), a rounding interval such as 0.30-0.39 or <=0.10 (BBRR columns), an MM/DD/YYYY date or a text label. Null when value is populated","Contenido publicado cuando no es un número: PrivacySuppressed (celda suprimida por confidencialidad), un intervalo de redondeo como 0.30-0.39 o <=0.10 (columnas BBRR), una fecha MM/DD/AAAA o una etiqueta textual. Nulo cuando value está lleno"
aid_debt,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
aid_debt,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
aid_debt,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
aid_debt,value,"Valor numérico publicado. A unidade depende da variável; ver a tabela variable. Nulo quando a fonte publicou um intervalo, uma data, um rótulo textual ou a supressão por sigilo; nesses casos o conteúdo está em value_raw","Published numeric value. The unit depends on the variable; see the variable table. Null when the source published an interval, a date, a text label or a privacy suppression instead; in those cases the content is in value_raw","Valor numérico publicado. La unidad depende de la variable; ver la tabla variable. Nulo cuando la fuente publicó un intervalo, una fecha, una etiqueta textual o la supresión por confidencialidad; en esos casos el contenido está en value_raw"
aid_debt,value_raw,"Conteúdo publicado quando não é um número: PrivacySuppressed (célula suprimida por sigilo), um intervalo de arredondamento como 0.30-0.39 ou <=0.10 (colunas BBRR), uma data MM/DD/AAAA ou um rótulo textual. Nulo quando value está preenchido","Published content when it is not a number: PrivacySuppressed (cell withheld for privacy), a rounding interval such as 0.30-0.39 or <=0.10 (BBRR columns), an MM/DD/YYYY date or a text label. Null when value is populated","Contenido publicado cuando no es un número: PrivacySuppressed (celda suprimida por confidencialidad), un intervalo de redondeo como 0.30-0.39 o <=0.10 (columnas BBRR), una fecha MM/DD/AAAA o una etiqueta textual. Nulo cuando value está lleno"
completion,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
completion,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
completion,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
completion,value,"Valor numérico publicado. A unidade depende da variável; ver a tabela variable. Nulo quando a fonte publicou um intervalo, uma data, um rótulo textual ou a supressão por sigilo; nesses casos o conteúdo está em value_raw","Published numeric value. The unit depends on the variable; see the variable table. Null when the source published an interval, a date, a text label or a privacy suppression instead; in those cases the content is in value_raw","Valor numérico publicado. La unidad depende de la variable; ver la tabla variable. Nulo cuando la fuente publicó un intervalo, una fecha, una etiqueta textual o la supresión por confidencialidad; en esos casos el contenido está en value_raw"
completion,value_raw,"Conteúdo publicado quando não é um número: PrivacySuppressed (célula suprimida por sigilo), um intervalo de arredondamento como 0.30-0.39 ou <=0.10 (colunas BBRR), uma data MM/DD/AAAA ou um rótulo textual. Nulo quando value está preenchido","Published content when it is not a number: PrivacySuppressed (cell withheld for privacy), a rounding interval such as 0.30-0.39 or <=0.10 (BBRR columns), an MM/DD/YYYY date or a text label. Null when value is populated","Contenido publicado cuando no es un número: PrivacySuppressed (celda suprimida por confidencialidad), un intervalo de redondeo como 0.30-0.39 o <=0.10 (columnas BBRR), una fecha MM/DD/AAAA o una etiqueta textual. Nulo cuando value está lleno"
cost,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
cost,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
cost,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
cost,value,"Valor numérico publicado. A unidade depende da variável; ver a tabela variable. Nulo quando a fonte publicou um intervalo, uma data, um rótulo textual ou a supressão por sigilo; nesses casos o conteúdo está em value_raw","Published numeric value. The unit depends on the variable; see the variable table. Null when the source published an interval, a date, a text label or a privacy suppression instead; in those cases the content is in value_raw","Valor numérico publicado. La unidad depende de la variable; ver la tabla variable. Nulo cuando la fuente publicó un intervalo, una fecha, una etiqueta textual o la supresión por confidencialidad; en esos casos el contenido está en value_raw"
cost,value_raw,"Conteúdo publicado quando não é um número: PrivacySuppressed (célula suprimida por sigilo), um intervalo de arredondamento como 0.30-0.39 ou <=0.10 (colunas BBRR), uma data MM/DD/AAAA ou um rótulo textual. Nulo quando value está preenchido","Published content when it is not a number: PrivacySuppressed (cell withheld for privacy), a rounding interval such as 0.30-0.39 or <=0.10 (BBRR columns), an MM/DD/YYYY date or a text label. Null when value is populated","Contenido publicado cuando no es un número: PrivacySuppressed (celda suprimida por confidencialidad), un intervalo de redondeo como 0.30-0.39 o <=0.10 (columnas BBRR), una fecha MM/DD/AAAA o una etiqueta textual. Nulo cuando value está lleno"
earnings,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
earnings,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
earnings,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
earnings,value,"Valor numérico publicado. A unidade depende da variável; ver a tabela variable. Nulo quando a fonte publicou um intervalo, uma data, um rótulo textual ou a supressão por sigilo; nesses casos o conteúdo está em value_raw","Published numeric value. The unit depends on the variable; see the variable table. Null when the source published an interval, a date, a text label or a privacy suppression instead; in those cases the content is in value_raw","Valor numérico publicado. La unidad depende de la variable; ver la tabla variable. Nulo cuando la fuente publicó un intervalo, una fecha, una etiqueta textual o la supresión por confidencialidad; en esos casos el contenido está en value_raw"
earnings,value_raw,"Conteúdo publicado quando não é um número: PrivacySuppressed (célula suprimida por sigilo), um intervalo de arredondamento como 0.30-0.39 ou <=0.10 (colunas BBRR), uma data MM/DD/AAAA ou um rótulo textual. Nulo quando value está preenchido","Published content when it is not a number: PrivacySuppressed (cell withheld for privacy), a rounding interval such as 0.30-0.39 or <=0.10 (BBRR columns), an MM/DD/YYYY date or a text label. Null when value is populated","Contenido publicado cuando no es un número: PrivacySuppressed (celda suprimida por confidencialidad), un intervalo de redondeo como 0.30-0.39 o <=0.10 (columnas BBRR), una fecha MM/DD/AAAA o una etiqueta textual. Nulo cuando value está lleno"
repayment,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
repayment,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
repayment,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
repayment,value,"Valor numérico publicado. A unidade depende da variável; ver a tabela variable. Nulo quando a fonte publicou um intervalo, uma data, um rótulo textual ou a supressão por sigilo; nesses casos o conteúdo está em value_raw","Published numeric value. The unit depends on the variable; see the variable table. Null when the source published an interval, a date, a text label or a privacy suppression instead; in those cases the content is in value_raw","Valor numérico publicado. La unidad depende de la variable; ver la tabla variable. Nulo cuando la fuente publicó un intervalo, una fecha, una etiqueta textual o la supresión por confidencialidad; en esos casos el contenido está en value_raw"
repayment,value_raw,"Conteúdo publicado quando não é um número: PrivacySuppressed (célula suprimida por sigilo), um intervalo de arredondamento como 0.30-0.39 ou <=0.10 (colunas BBRR), uma data MM/DD/AAAA ou um rótulo textual. Nulo quando value está preenchido","Published content when it is not a number: PrivacySuppressed (cell withheld for privacy), a rounding interval such as 0.30-0.39 or <=0.10 (BBRR columns), an MM/DD/YYYY date or a text label. Null when value is populated","Contenido publicado cuando no es un número: PrivacySuppressed (celda suprimida por confidencialidad), un intervalo de redondeo como 0.30-0.39 o <=0.10 (columnas BBRR), una fecha MM/DD/AAAA o una etiqueta textual. Nulo cuando value está lleno"
student_body,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
student_body,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
student_body,variable_name,"Nome da variável publicada pela fonte (ex.: MD_EARN_WNE_P10). Definição, rótulo e unidade estão na tabela variable","Variable name as published by the source (e.g. MD_EARN_WNE_P10). Its definition, label and unit are in the variable table","Nombre de la variable publicada por la fuente (ej.: MD_EARN_WNE_P10). Su definición, etiqueta y unidad están en la tabla variable"
