"ntee","description","definition"
"N31","Community Recreational Centers","Organizations that operate centers which offer, at a single location, a variety of recreational facilities such as athletic fields and courts, a gymnasium, a swimming pool and public lockers. Recreational centers usually offer an organized program of activities for community residents and provide all necessary equipment."
"N32","Parks & Playgrounds","Organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails."
"N40","Sports Associations & Training Facilities","Organizations such as intercollegiate athletic associations that promote athletic competition among member schools. Also includes separately organized private educational institutions that provide instruction in a particular sport or recreational activity."
"N50","Recreational Clubs","Organizations that make available to members and their guests and facilities for recreational activities, sports and games. Also included are social clubs that provide opportunities for people to meet and socialize with their peers at dances, parties, picnics, barbecues and other companionable events; and special interest clubs which enable people to share hobbies or other interests with individuals with those same interests. \[Many of these are 501(c)(7) organizations.\]"
"N52","Fairs","Organizations that sponsor, organize and promote fairs and festivals. Includes collectible/antique fairs, county and state fairs, street fairs, festivals, parades, and other similar activities during religious and patriotic holidays and other special occasions."
"N60","Amateur Sports","Organizations that provide opportunities for people of all ages to learn, become competitive in and enjoy the organized recreational activity, sport or game of their choice. These programs may be offered by local clubs devoted to a particular activity or sport; may provide individual or team coaching assistance or instruction, access to equipment and facilities, and uniforms, if necessary; and may sponsor or make arrangements for athletes to participate in amateur competitions, usually at the local or regional level, and provide officials for games. These events are generally for the enjoyment of the athletes and are not at a high enough competitive level to be considered spectator sports."
"N61","Fishing & Hunting","Organizations that provide opportunities for people to learn and become competitive in archery; fly or bait fishing; game bird, game fowl, or game animal hunting; fox hunting; and/or the use of firearms on the target range."
"N62","Basketball","Organizations that provide opportunities for people to learn and become competitive in basketball. basketball equipment, uniforms, and officials for competitions are generally included."
"N63","Baseball & Softball","Organizations such as Little Leagues that provide opportunities for people to learn and become competitive in baseball or softball. Coaching, access to a baseball field, baseball equipment, uniforms, and managers and umpires for games are generally included."
"N64","Soccer","Organizations that provide opportunities for people to learn and become competitive in soccer. Coaching, access to a soccer field, soccer equipment, uniforms, and officials for competitions are generally included."
"N65","Football","Organizations that provide opportunities for people to learn and become competitive in football. Coaching, access to a football field, football equipment, uniforms, and referees for competitions are generally included."
"N66","Racquet Sports","Organizations that provide opportunities for people to learn and become competitive in tennis, badminton, racquet ball, squash, table tennis and other racquet sports. Coaching, access to courts, equipment and officials for competitions are generally included."
"N67","Swimming & Other Water Recreation","Organizations that provide opportunities for people to learn and become competitive in swimming, diving, snorkeling, surfing, water skiing, water polo, boating, white water rafting and other water sports. Coaching, access to a swimming pool or other facilities, sports equipment, and officials for competitions are generally included."
"N68","Winter Sports","Organizations that provide opportunities for people to learn and become competitive in ice hockey, ice skating, alpine and cross-country skiing, sledding/tobogganing and other winter sports. Coaching; access to skating rinks, ski slopes or other facilities; sports equipment; and officials for competitions are generally included."
"N69","Equestrian","Organizations that provide opportunities for people to learn and become competitive in sports involving horseback riding and jumping. Coaching, access to riding and jumping facilities and officials for competitions are generally included."
"N6A","Golf","Organizations including public golf courses that provide opportunities for people to learn and become competitive in the game of golf. Coaching, access to a golf course, golf equipment, and officials for competitions are generally included."
"N70","Amateur Sports Competitions","Organizations that sponsor sports competitions for amateurs at the national, state, or international level or competitions at multiple levels including the international level."
"N71","Olympics","Organizations that prepare amateur athletes to participate in the Olympics, an international program of sports training and athletic competition which features a variety of sports and games, or in other similar competitions. Included are the national governing bodies for sports that are part of the Olympic and Pan-American Games whose charge is to select, train and manage athletes who represent the U.S. internationally."
"N72","Special Olympics","Organizations that prepare people to participate in the Special Olympics, an international program of sports training and athletic competition for children and adults with disabilities which features a variety of sports and games, or in other similar competitions."
"N80","Professional Athletic Leagues","Membership organizations that are engaged in promoting the interests of individuals who are active or who have retired from professional sports."
"N99","Recreation & Sports N.E.C.","Use this code for organizations that clearly provide recreation, sports, leisure or athletics services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"O","Youth Development",NA
"O01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Youth Development major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"O02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Youth Development major group area."
"O03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Youth Development major group area."
"O05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Youth Development major group area."
"O11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Youth Development major group area."
"O12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Youth Development major group area."
"O19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Youth Development major group area."
"O20","Youth Centers & Clubs","Organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. Use this code for teen centers and clubs other than Boys Clubs, Girls Clubs or Boys and Girls Clubs, e.g., Police Athletic Leagues."
"O21","Boys Clubs","Organizations specifically designated as Boys Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
"O22","Girls Clubs","Organizations specifically designated as Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
"O23","Boys & Girls Clubs","Organizations specifically designated as Boys and Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
"O30","Adult & Child Matching Programs","Programs, also known as adult/child mentoring programs, that provide male or female adult companionship, guidance and/or role models for young men or women. Use this code for all adult, child matching programs other than Big Brothers or Big Sisters."
"O31","Big Brothers & Big Sisters","Organizations specifically designated as Big Brothers or Big Sisters that provide male or female adult companionship, guidance and/or role models for young men or women."
"O40","Scouting","Programs that provide opportunities for children and youth to develop individual and group initiative and responsibility, self-reliance, courage, personal fitness, discipline and other desirable qualities of character through participation in a wide range of organized recreational, educational and civic activities under the leadership of qualified adult volunteers. Use this code for troop type organizations not specifically designated as Boy Scouts of America, Girl Scouts of the U.S.A or Camp Fire."
"O41","Boy Scouts of America","Organizations specifically designated as Boy Scouts of America troops and councils."
"O42","Girl Scouts of the U.S.A.","Organizations specifically designated as Girl Scouts of the U.S.A. troops and councils."
"O43","Camp Fire","Organizations specifically designated as Camp Fire programs."
"O50","Youth Development Programs","Programs that provide opportunities for children and youth to participate in recreational, cultural, social and civic activities through membership in clubs and other youth groups with a special focus whose purpose is to help youngsters develop their potential and grow into healthy, educated, responsible and productive adults. Use this code for youth development programs not specified below."
"O51","Youth Community Service Clubs","Organizations like Key Club that provide opportunities for children and youth to make a contribution to their local community through volunteer service projects. The purpose of the organization is to develop leadership skills and good citizenship practices in youngsters who are interested in service to others."
"O52","Youth Development - Agricultural","Organizations like 4-H Club, and Future Homemakers that emphasize the total development of young people through work on animal, engineering, family/consumer health, resource, plant or social science projects in consultation with their parents and supervising adult volunteers. Members also participate in camping activities, leadership conferences, awards programs and community service activities."
"O53","Youth Development - Business","Organizations like Junior Achievement that utilize volunteers from the teaching profession, business and industry to provide firsthand information about the business world for children and youth. Some clubs may also initiate small business ventures under the guidance of adult volunteers."
"O54","Youth Development - Citizenship","Organizations like Youth Republic and Girls Nation that provide opportunities for young people to gain a clear understanding of the process of government and to develop an appreciation for their approaching citizenship responsibilities."
"O55","Youth Development - Religious Leadership","Organizations like Youth for Christ, Campus Crusade for Christ and Liberal Religious Youth that provide a variety of recreational and social activities for young people with the objective of strengthening their religious values and meeting their spiritual needs as well as supporting their growth and development as individuals."
"O99","Youth Development N.E.C.","Use this code for organizations that clearly provide youth development services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"P","Human Services",NA
"P01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Human Services - Multipurpose and Other major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"P02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Human Services - Multipurpose and Other major group area."
"P03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Human Services - Multipurpose and Other major group area."
"P05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Human Services - Multipurpose and Other major group area."
"P11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Human Services major group area."
"P12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Human Services - Multipurpose and Other major group area."
"P19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Human Services - Multipurpose and Other major group area."
"P20","Human Service Organizations","Organizations that provide a broad range of social services for individuals or families. Use this code for multiservice organizations such as Lutheran Social Services, Catholic Social Services and other community service organizations not specified below that provide a variety of services from throughout the P section or services from the P section in combination with services described in other sections (e.g., an organization that provides family counseling, substance abuse services, employment assistance and services for at - risk youth)."
"P21","American Red Cross","Separately incorporated, local chapters of the American Red Cross."
"P22","Urban League","Separately incorporated, local Urban League sites."
"P24","Salvation Army","Separately incorporated, local Salvation Army sites."
"P26","Volunteers of America","Separately incorporated, local Volunteers of America sites."
"P27","Young Mens or Womens Associations","Separately incorporated, local YMCA, YWCA, YMHA, YWHA sites."
"P28","Neighborhood Centers","Neighborhood-based multipurpose centers that offer, at a single location, a wide variety of services and activities that are structured to meet the needs of the entire community through different programs for different age and interest groups."
"P29","Thrift Shops","Organizations that offer new or second-hand furniture, appliances, clothing, toys and other material goods at lower than retail prices, and which often use the proceeds from sales to support other services to the community. Thrift shops accept direct donations from the public of new and reusable goods."
"P30","Children & Youth Services","Organizations that provide a wide variety of informational, social and supportive services for children and youth including runaways and other troubled youth. Use this code for organizations that provide services for children and/or youth that are not specified below."
"P31","Adoption","Organizations that arrange permanent homes under new legal parentage for individuals whose birth parents are unable or unwilling to provide for their care."
"P32","Foster Care","Organizations that provide an alternative family living arrangement in agency-supervised family homes for dependent children who have been removed from their homes because of abuse, neglect or abandonment; or for children or adults with disabilities who are unable to live with their birth families or in an independent setting."
"P33","Child Day Care","Organizations that provide substitute parental care for children during some portion of a twenty-four hour day."
"P40","Family Services","Organizations that provide a wide variety of social services that are designed to support healthy family development, improve the familys ability to resolve problems and prevent the need for unnecessary placement of children in settings outside the home. Use this code for organizations that provide comprehensive family support services or which offer services other than those specified below."
"P42","Single Parent Agencies","Organizations like Parents Without Partners that provide supportive services for single parents."
"P43","Family Violence Shelters","Organizations that provide temporary shelter for women who have experienced domestic violence and for their children."
"P44","In-Home Assistance","Organizations that provide assistance in performing routine household, yard and personal care activities for frail elderly, disabled or indigent individuals or families whose normal routines have been disrupted by an emergency."
"P45","Family Services for Adolescent Parents","Organizations that provide pregnancy counseling, maternity home care and other supportive services for pregnant adolescents or adolescents who are parents."
"P46","Family Counseling","Organizations that offer therapeutic sessions which focus on the system of relationships and communication patterns among family members and which attempt to modify those relationships and patterns to achieve greater harmony. The therapist focuses on the family as a unit rather than concentrating on one of the members who is singled out as the one in need of treatment."
"P47","Pregnancy Centers","Organizations that provide free and confidential services to women and families facing unplanned pregnancies. Services can include pregnancy testing and physician exams with ultrasound, counseling on pregnancy-related issues, information on STDs, healthcare & community referrals, and help with material goods such as maternity and baby items."
"P50","Personal Social Services","Organizations that provide a variety of personal social services or which offer personal social services not specified below."
"P51","Financial Counseling","Organizations that provide advice and guidance for people who need assistance in obtaining credit, obtaining or correcting information in their credit records, reducing their debt burden or managing their financial resources more effectively."
"P52","Transportation Assistance","Organizations that provide or coordinate free or low-cost transportation services for older adults, people with disabilities, people with medical conditions, people who are indigent, students and other eligible individuals."
"P58","Gift Distribution","Organizations - like Toys for Tots - that provide, coordinate or raise money and donations for holiday assistance and gift distribution programs, usually but not exclusively organized around holidays."
"P60","Emergency Assistance","Organizations that provide food, clothing, household goods, cash and other forms of short-term emergency assistance for indigent individuals and families who have insufficient resources to meet their basic needs."
"P61","Travelers Aid","Organizations that provide supportive services including information and emergency assistance for tourists, travelers or other visitors who are stranded or have encountered other problems."
"P62","Victims Services","Organizations that provide supportive services for crime victims which may include crisis counseling, medical services, escort services, transportation, child care, financial assistance, protective services, information about the mechanics of court proceedings, assistance with forms to file for reimbursement of crime-related expenses or losses, and/or advice and guidance concerning court appearances."
"P70","Residential Care & Adult Day Programs","Organizations that provide alternative living arrangements for people who require care, supervision and support on a 24-hour basis or during part of the day. Use this code for organizations that provide residential, custodial care, but the specific nature of the facility is unclear, or which have multiple facilities which fall into more than one category below."
"P71","Adult Day Care","Organizations that provide personal care for dependent adults or adults with disabilities in a supervised group setting during some portion of a twenty-four hour day. Services may include social and recreational activities, training that is essential for sustaining the activities of daily living and meals, as appropriate."
"P73","Group Homes","Facilities, usually located in residential neighborhoods, that provide 24-hour non-medical care for individuals with disabilities who need supervision and/or assistance with activities of daily living."
"P74","Hospices","Organizations that provide palliative and supportive services including medical care, pain and symptom management, home nurse visitation, case management, counseling, and bereavement services for terminally ill people who are in the final stages of their illnesses and for members of their families."
"P75","Supportive Housing for Older Adults","Residential facilities for older adults who are unable to function in an independent living environment because they need assistance with toileting, bathing, dressing, medication, meals and housekeeping and other activities of daily living, but do not require nursing care on a regular basis."
"P76","Homes for Children & Adolescents","Organizations that provide alternative living arrangements for children and young adults who require care, supervision and support on a 24-hour basis or during part of the day. Use also for children and youth who have been neglected or abandoned and would benefit from a professionally supervised, structured group environment."
"P7A","Residential Intellectual and Developmental Disability Facilities (group homes, intermediate care facilities & hospitals)","NULL"
"P80","Centers to Support the Independence of Specific Populations","Organizations that provide multipurpose centers or services that meet the needs and interests of a particular target population. Use this code for centers or services for special populations not specified below or for facilities that serve multiple special populations."
"P81","Senior Centers","Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of the senior population. Also included are organizations that administer funding for senior services under Title III of the Older Americans Act."
"P82","Developmentally Disabled Centers","Organizations that provide or coordinate a wide variety of programs and services for people with developmental disabilities."
"P83","Women's Centers","Organizations that provide or coordinate a wide variety of programs and services that are needed by and of interest to this population."
"P84","Ethnic & Immigrant Centers","Organizations that provide or coordinate a wide variety of programs and services that are structured to meet the social, educational, economic, recreational and other needs of specific ethnic and/or immigrant groups in ways that are culturally appropriate."
"P85","Homeless Centers","Organizations that provide supportive services for individuals and families who are homeless or which work with people who are at risk for homelessness in an effort to prevent them from losing their permanent residence."
"P86","Blind & Visually Impaired Centers","Organizations that provide or coordinate a wide variety of programs and services for people who are blind or have visual impairments."
"P87","Deaf & Hearing Impaired Centers","Organizations that provide or coordinate a wide variety of programs and services for people who are deaf or have hearing impairments."
"P88","LGBT Centers","Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of people who are lesbian, gay, bisexual, or transgenedered."
"P99","Human Services N.E.C.","Use this code for organizations that clearly provide human services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"Q","International, Foreign Affairs & National Security","Private nonprofit organizations whose primary purpose is to provide services or other forms of support to increase mutual understanding across countries, encourage social, economic or political development outside of the U.S., and/or impact national, multilateral or international policies on international issues. (rev. 12/04)"
"Q01","Alliances & Advocacy","Organizations whose primary purpose is influencing public policy within the International, Foreign Affairs, and National Security major group area. Includes groups employing a activities designed to influence government and international institutional policy, such as, public education and influencing public opinion, public mobilizations, and lobbying."
"Q02","Management & Technical Assistance","Organizations whose primary purpose is consultation, training, and other forms of management and administrative support services to nonprofit groups within the International, Foreign Affairs, and National Security major group area."
"Q03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the International, Foreign Affairs, and National Security major group area."
"Q05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the International, Foreign Affairs, and National Security major group area."
"Q11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the International, Foreign Affairs & National Security major group area."
"Q12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the International, Foreign Affairs, and National Security major group area."
"Q19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the International, Foreign Affairs and National Security major group area."
"Q20","Promotion of International Understanding","Organizations whose primary purpose is to promote international understanding through activities, such as events, forums, trainings, and exchanges, which enable people to develop an appreciation for other societies, their traditions and culture. Use this code for organizations that provide a wide variety of organizations relating to the promotion of international understanding or which offer specific programs not specified below."
"Q21","International Cultural Exchange","Organizations whose primary purpose is to provide international cultural educational experiences abroad and/or sponsor international cultural events (e.g., touring performing arts troupes) that are designed to increase understanding of other societies through the arts and humanities."" Also use this code for financial support for museums and other cultural institutions outside of the United States."
"Q22","International Academic Exchange","Organizations that provide opportunities for high school students from foreign countries to live with an approved family in the United States and attend an American high school for one semester or one year in exchange for American students living and attending school in their country during the same period of time."
"Q23","International Exchange N.E.C.","Organizations whose primary purpose is to provide international living experiences for individuals and families by arranging job exchanges, residence exchanges and other similar opportunities."
"Q30","International Development","Organizations whose primary purpose is to provide technical assistance training and material resources to support the capacity-building efforts of nations outside the U. S. with a focus on agricultural and rural development, health, education, social welfare, small business development and industrial growth. Use this code for organizations that provide a wide range of international development and/or relief services or those not specified below."
"Q31","International Agricultural Development","Organizations that provide information, technical assistance and support to developing countries regarding the planting, nurturing, protection and utilization of agricultural products with the objective of increasing the productivity of their cultivated land and improving their food supply."
"Q32","International Economic Development","Organizations that provide technical assistance and training, loans and loan guarantees and other forms of support to stimulate the economy, expand employment opportunities, encourage the establishment and growth of commerce and industry and otherwise enhance the economic development of countries outside the United States."
"Q33","International Relief","Organizations that work to relieve poverty in developing countries by providing funds, technical assistance and supplies which improve the health, education, welfare, social well-being and self-reliance of individuals and families. Also included are organizations that provide relief services in response to a major disaster or large-scale emergency that occurs abroad."
"Q34","International Educational Development <i>(Draft Code - not for internal IRS use)</i>","Organizations whose primary purpose is to educate individuals, provide financial support for educational institutions and other forms of material support for students and institutions in countries outside the United States."
"Q35","International Democracy & Civil Society Development","Organizations whose primary purpose is to carry out programs that support the development of democracy and civil society in countries outside of the United States. Includes organizations that provide assistance in election planning and administration, election law development, political party development, constitutional development, and voter and civic education, which may include training of government and civic leaders. Also includes organizations that promote a supportive legal and regulatory environment for civil society and otherwise strengthen civil society actors and organizations as a group."
"Q36","International Science & Technology Development <i>(Draft Code - not for internal IRS use)</i>","Organizations whose primary purpose is to provide technical assistance, training, and other forms of support to encourage the development of appropriate technologies, science and technology transfer, and technological capability building of countries outside the United States."
"Q38","International Environment, Population & Sustainability <i>(Draft Code - not for internal IRS use)</i>","Organizations whose primary purpose is to protect the environment and create a sustainable world by addressing issues such as cross national concerns and advocacy and research on environmental and population policy."
"Q39","International Health Development <i>(Draft Code - not for internal IRS use)</i>","Organizations whose primary purpose is to provide health assistance and training, loans and loan guarantees, financial and other material support for hospitals, medical services for countries outside the United States."
"Q40","International Peace & Security","Organizations that promote harmony and understanding among nations either globally or in a particular region of the world and/or engage in activities that promote peaceful ways of managing and settling international conflicts. Use this code for organizations that promote international peace in a general way or which have specific programs devoted to international peace and security other than those specified below."
"Q41","Arms Control & Peace","Organizations that promote control of nuclear, biological, chemical and conventional weapons development and proliferation."
"Q42","United Nations Associations","Organizations whose activities relate specifically to the United Nations."
"Q43","National Security","Organizations that conduct studies on major national security topics including the U.S. armed forces, weapons decisions, deployment policies and the security aspects of U.S. foreign relations; monitor legislation on national security issues; advocate for specific defense policies and expenditures; and engage in other activities related to the security of the United States."
"Q50","International Affairs, Foreign Policy, & Globalization","Organizations that conduct studies on foreign policy, national security, regional affairs and international energy, economic, and trade policies; monitor foreign policy legislation; hold conferences seminars and debates to expand interest in international issues and promote understanding of US foreign policy and international affairs; address problems of globalization; publish journals, newsletters, and other materials addressing foreign policy issues; and engage in other activities relating to foreign policy."
"Q51","International Economic & Trade Policy","Organizations whose primary purpose is promote world trade and strengthen international trade and investment position of the US, states and localities. Services may include analyses of the competitiveness of specific industries, development of trade policies, negotiating market access for US companies and promoting exports through trade missions, shows, and fairs in major overseas markets."
"Q70","International Human Rights","Organizations that work to protect individuals around the world from denial of civil rights and liberties or other arbitrary governmental interference, harassment, or abuse due to their political or religious beliefs."
"Q71","International Migration & Refugee Issues","Organizations that monitor and inform the public about the world refugee situation; review refugee-related legislation; and advocate for specific policies relating to the plight of refugees in other countries. Also included are organizations that raise money to enable refugees to leave their own countries and migrate to foreign countries of their choice; or provide aid to refugees who have left their country of origin and are residing in another country outside the United States."
"Q99","International, Foreign Affairs & National Security N.E.C.","Use this code for organizations that clearly provide services related to international affairs where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"R","Civil Rights, Social Action & Advocacy","Private nonprofit organizations whose primary purpose is to protect and promote the broad civil rights of groups and civil liberties of individuals, to work for the realization of specific social or political goals or to encourage the participation of people in the public policy debate."
"R01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Civil Rights, Social Action, Advocacy major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"R02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Civil Rights, Social Action, Advocacy major group area."
"R03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Civil Rights, Social Action, Advocacy major group area."
"R05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Civil Rights, Social Action, Advocacy major group area."
"R11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Civil Rights, Social Action & Advocacy major group area."
"R12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Civil Rights, Social Action, Advocacy major group area."
"R19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations in the Civil Rights, Social Action, Advocacy major group area."
"R20","Civil Rights","Organizations that work for the passage and enforcement of laws or other social measures that will more effectively protect the rights of specific groups. Use this code for organizations that broadly address civil rights and advocacy issues or which focus on populations not specified below."
"R21","Immigrants' Rights<i>(Draft Code - not for internal IRS use)</i>","Organizations that support the passage and enforcement of laws and other social measures which protect the rights and interests of individuals who have newly arrived in the country or which govern the process by which individuals and families are granted permission to immigrate."
"R22","Minority Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific ethnic groups or individuals who have a common national origin. Use this code for organizations like the NAACP and La Raza."
"R23","Disabled Persons Rights","Organizations that support the passage and enforcement of laws or other social measures that protect the rights of people who have disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population."
"R24","Womens Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of women."
"R25","Seniors Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of older adults."
"R26","Lesbian & Gay Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgender."
"R27","Patients' Rights<i>(Draft Code - not for internal IRS use)</i>","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of patients."
"R28","Children's Rights","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth."
"R29","Employee & Workers' Rights<i>(Draft Code - not for internal IRS use)</i>","Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of groups of workers and employees."
"R30","Intergroup & Race Relations","Organizations that work for increased harmony and understanding among diverse groups in the community and to reduce or eliminate tensions and violence based on age, gender, race, color, sexual preference, creed, national origin, income level or stereotypical identification."
"R40","Voter Education & Registration","Organizations that encourage citizens to participate in the political process, in a nonpartisan manner, by providing opportunities for political involvement, access to public officials, information that is necessary to make informed decisions at the ballot box or assistance in registering to vote."
"R60","Civil Liberties","Organizations that protect the rights of people guaranteed by the Constitution and promote the passage of laws or other social measures that extend individual rights or more effectively protect them. Use this code for organizations that advocate for a wide variety of civil liberties or for specific rights that are not specified below."
"R61","Reproductive Rights","Organizations that support the passage and enforcement of laws and other social measures which preserve a womans right to terminate her pregnancy."
"R62","Right to Life","Organizations that support the passage of legislation which assigns legal rights to the unborn and seeks to criminalize the termination of unwanted pregnancies."
"R63","Censorship, Freedom of Speech & Press","Organizations that support the right of the press to freedom of expression without censorship or other restrictions by government and/or which support the right of the media to maintain confidential sources."
"R65","Freedom of Religion Issues<i>(Draft Code - not for internal IRS use)</i>","Organizations that support the passage of legislation and other social measures that protect or extend the rights of individuals to conduct their lives according to the precepts of their faith."
"R67","Right to Die & Euthanasia","Organizations that support the right of people who may be terminally ill to end their own lives in a planned manner either by active means or by the removal of life-support systems."
"R99","Civil Rights, Social Action & Advocacy N.E.C.","Use this code for organizations that clearly provide civil rights, social action or advocacy services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
"S","Community Improvement & Capacity Building",NA
"S01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Community Improvement, Capacity Building major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"S02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Community Improvement, Capacity Building major group area."
"S03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Community Improvement, Capacity Building major group area."
"S05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Community Improvement, Capacity Building major group area."
"S11","Single Organization Support","Organizations existing as a fund-raising entity for a single institution within the Community Improvement & Capacity Building major group area."
"S12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Community Improvement, Capacity Building major group area."
"S19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Community Improvement, Capacity Building major group area."
"S20","Community & Neighborhood Development","Organizations that focus broadly on strengthening, unifying and building the economic, cultural, educational and social services of an urban community or neighborhood. Use this code for community and neighborhood improvement organizations other than those specified below."
"S21","Community Coalitions","Organizations that are designed to increase citizen participation in local policy issues and thereby improve the overall quality of life in a particular state or community."
"S22","Neighborhood & Block Associations","Organizations whose members are residents of a particular community or neighborhood who have joined together to remedy deficiencies in existing neighborhood conditions or to enhance conditions that are currently satisfactory."
"S30","Economic Development","Organizations whose primary purpose is to stimulate the economy, expand employment opportunities, encourage the establishment and growth of commerce and industry and otherwise enhance the economic development of the community."
"S31","Urban & Community Economic Development","Organizations that provide technical assistance, loans, loan guarantees or other forms of management support to help impoverished urban communities create local jobs, sustain local services and build healthier local economies."
"S32","Rural Economic Development","Organizations that provide technical assistance, venture capital, loans, loan guarantees or other forms of management support to encourage the establishment and growth of business and industry in rural areas."
"S40","Business & Industry","Organizations that provide technical assistance, loans, loan guarantees and other forms of assistance to support the development and growth of a wide variety of business establishments in the community."
"S41","Chambers of Commerce & Business Leagues","Organizations like chambers of commerce, business leagues and commercial trade associations whose members are businessmen and women and merchants who have affiliated for the purpose of promoting the general commercial interests of the community or the interests of their own trade. \[Many of these are found in section 501(c)(6) business leagues; and 501(c)(6) chambers of commerce.\]"
"S43","Small Business Development","Organizations that provide technical assistance, venture capital, loans, loan guarantees or other forms of support for individuals or groups who want to establish or expand the operation of a small business enterprise or venture."
"S46","Boards of Trade","501(c)(6) organizations that are involved in regulating, promoting or conducting commodities and commercial investment exchanges."
"S47","Real Estate Associations","Organizations whose members are in the real estate business who have affiliated for the purpose of promoting the interests of their trade."
"S50","Nonprofit Management","Organizations that provide technical assistance for nonprofit organizations who need management support in areas like board development; facility administration; fiscal administration; grant writing; personnel administration; program planning, development or evaluation; service delivery; volunteer utilization; or public relations. Use this code for Nonprofit Management Support Centers."
